N,Norme,iterations,durree
2540,2.519757166223328,21,0.13414406776428223
2550,2.5200535155407735,21,0.12638425827026367
2560,2.5203484993811642,21,0.13599872589111328
2570,2.520642129375875,21,0.12544751167297363
2580,2.520934417016905,21,0.13672375679016113
2590,2.5212253736494326,21,0.12457084655761719
2600,2.521515010478951,21,0.13582944869995117
2610,2.5218033385799297,21,0.13125109672546387
2620,2.522090368887239,21,0.13793206214904785
2630,2.5223761121951456,21,0.12682366371154785
2640,2.5226605791842998,21,0.1384439468383789
2650,2.522943780394838,21,0.13131976127624512
2660,2.523225726242246,21,0.14093565940856934
2670,2.52350642701827,21,0.13228511810302734
2680,2.5237858928900447,21,0.14435791969299316
2690,2.524064133909353,21,0.1365664005279541
2700,2.5243411600048136,21,0.14274358749389648
2710,2.5246169809843955,21,0.1391768455505371
2720,2.52489160655122,21,0.14296245574951172
2730,2.525165046281761,21,0.14122772216796875
2740,2.525437309651325,21,0.14877557754516602
2750,2.5257084060245,21,0.1405191421508789
2760,2.525978344650685,21,0.1502068042755127
2770,2.5262471346742608,21,0.1443767547607422
2780,2.5265147851434167,21,0.15311241149902344
2790,2.5267813049933965,21,0.14109420776367188
2800,2.527046703054564,21,0.15842461585998535
2810,2.5273109880665103,21,0.14409112930297852
2820,2.5275741686676096,21,0.15828800201416016
2830,2.5278362533955505,21,0.14632654190063477
2840,2.5280972506943606,21,0.15609002113342285
2850,2.5283571689086055,21,0.14882946014404297
2860,2.5286160162992575,21,0.1688365936279297
2870,2.5288738010257408,21,0.15595316886901855
2880,2.5291305311575423,21,0.16475629806518555
2890,2.5293862146816206,21,0.15628266334533691
2900,2.5296408595001063,21,0.16176247596740723
2910,2.5298944734096183,21,0.15432286262512207
2920,2.5301470641437938,21,0.17487812042236328
2930,2.530398639338146,21,0.15626001358032227
2940,2.5306492065406303,21,0.16965389251708984
2950,2.5308987732461414,21,0.1605384349822998
2960,2.531147346827611,21,0.17241930961608887
2970,2.5313949346113658,21,0.16198110580444336
2980,2.5316415438284485,21,0.17571592330932617
2990,2.531887181641276,21,0.16158437728881836
3000,2.5321318551238994,21,0.17504620552062988
3010,2.532375571296776,21,0.16875863075256348
3020,2.5326183370833917,21,0.1801443099975586
3030,2.532860159352514,21,0.17386841773986816
3040,2.5331010448813265,21,0.18180465698242188
3050,2.533341000388331,21,0.1700599193572998
3060,2.533580032534034,21,0.18558597564697266
3070,2.5338181478796544,21,0.17322731018066406
3080,2.534055352943403,21,0.20001459121704102
3090,2.5342916541743468,21,0.17469501495361328
3100,2.534527057931831,21,0.19053339958190918
3110,2.534761570537155,21,0.17839646339416504
3120,2.534995198231256,21,0.18780803680419922
3130,2.5352279472013324,21,0.19069242477416992
3140,2.535459823566742,21,0.19067645072937012
3150,2.53569083340983,22,0.2022109031677246
3160,2.5359209826452087,21,0.18885588645935059
3170,2.53615027728746,21,0.19671177864074707
3180,2.5363787232190065,22,0.20719289779663086
3190,2.5366063261984895,22,0.21783828735351562
3200,2.536833091984609,21,0.19853878021240234
3210,2.53705902636662,22,0.2075197696685791
3220,2.5372841348726474,21,0.20282888412475586
3230,2.5375084231842004,21,0.20155119895935059
3240,2.53773189680007,21,0.20229816436767578
3250,2.537954561233528,22,0.21675610542297363
3260,2.538176421854242,22,0.21068668365478516
3270,2.5383974840612895,22,0.21958041191101074
3280,2.5386177531796443,22,0.21342706680297852
3290,2.5388372344780183,22,0.2206273078918457
3300,2.539055933174465,22,0.21682333946228027
3310,2.5392738544355824,22,0.2217710018157959
3320,2.539491003384927,22,0.21842479705810547
3330,2.53970738508717,22,0.22216558456420898
3340,2.5399230045672314,22,0.22096467018127441
3350,2.54013786679816,22,0.22787189483642578
3360,2.5403519767026825,22,0.22466206550598145
3370,2.5405653391644396,22,0.22702360153198242
3380,2.540777959015309,22,0.22683095932006836
3390,2.540989841044258,22,0.23499536514282227
3400,2.541200989988652,22,0.22986912727355957
3410,2.5414114105561416,22,0.23503828048706055
3420,2.5416211073946995,22,0.23516345024108887
3430,2.5418300851200715,22,0.24474692344665527
3440,2.5420383482977433,22,0.24477052688598633
3450,2.542245901454706,22,0.23871707916259766
3460,2.5424527490744957,22,0.23630571365356445
3470,2.5426588956050358,22,0.24028348922729492
3480,2.542864345443829,22,0.2429203987121582
3490,2.5430691029568333,22,0.24072933197021484
